weighting,model,scenario,rank,region_id,region,distance
grouped,MPI-ESM1-2-HR,ssp585,23,BR_LONDRINA,Londrina Brazil,3.313
grouped,MPI-ESM1-2-HR,ssp585,24,CA_SK_REGINA,Regina Saskatchewan,3.405
grouped,MPI-ESM1-2-HR,ssp585,25,KZ_KOSTANAY,Kostanay Kazakhstan,3.558
grouped,MPI-ESM1-2-HR,ssp585,26,AU_NORTHAM,Northam Australia,3.574
grouped,MPI-ESM1-2-HR,ssp585,27,BR_PASSOFUNDO,Passo Fundo Brazil,3.678
grouped,MPI-ESM1-2-HR,ssp585,28,ZA_MALMESBURY,Malmesbury South Africa,4.065
grouped,MPI-ESM1-2-HR,ssp585,29,ES_VALLADOLID,Valladolid Spain,4.097
grouped,MPI-ESM1-2-HR,ssp585,30,TR_KONYA,Konya Turkey,4.266
grouped,MRI-ESM2-0,ssp245,1,US_OK_ENID,Enid Oklahoma,0.419
grouped,MRI-ESM2-0,ssp245,2,US_KS_GARDENCITY,Garden City Kansas,0.696
grouped,MRI-ESM2-0,ssp245,3,US_TX_AMARILLO,Amarillo Texas,0.714
grouped,MRI-ESM2-0,ssp245,4,US_CO_STERLING,Sterling Colorado,1.602
grouped,MRI-ESM2-0,ssp245,5,US_MO_COLUMBIA,Columbia Missouri,1.619
grouped,MRI-ESM2-0,ssp245,6,US_NE_HASTINGS,Hastings Nebraska,1.671
grouped,MRI-ESM2-0,ssp245,7,AR_MARCOSJUAREZ,Marcos Juarez Argentina,1.815
grouped,MRI-ESM2-0,ssp245,8,RU_KRASNODAR,Krasnodar Russia,1.837
grouped,MRI-ESM2-0,ssp245,9,AU_DUBBO,Dubbo Australia,1.862
grouped,MRI-ESM2-0,ssp245,10,US_TX_WACO,Waco Texas,1.907
grouped,MRI-ESM2-0,ssp245,11,AR_PERGAMINO,Pergamino Argentina,2.011
grouped,MRI-ESM2-0,ssp245,12,RU_STAVROPOL,Stavropol Russia,2.025
grouped,MRI-ESM2-0,ssp245,13,AU_WAGGA,Wagga Wagga Australia,2.153
grouped,MRI-ESM2-0,ssp245,14,US_IA_AMES,Ames Iowa,2.197
grouped,MRI-ESM2-0,ssp245,15,US_MS_GREENVILLE,Greenville Mississippi,2.2
grouped,MRI-ESM2-0,ssp245,16,US_IL_CHAMPAIGN,Champaign Illinois,2.21
grouped,MRI-ESM2-0,ssp245,17,ZA_BETHLEHEM,Bethlehem South Africa,2.277
grouped,MRI-ESM2-0,ssp245,18,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,2.412
grouped,MRI-ESM2-0,ssp245,19,UA_POLTAVA,Poltava Ukraine,2.427
grouped,MRI-ESM2-0,ssp245,20,US_ND_FARGO,Fargo North Dakota,2.658
grouped,MRI-ESM2-0,ssp245,21,AU_HORSHAM,Horsham Australia,2.696
grouped,MRI-ESM2-0,ssp245,22,FR_CHARTRES,Chartres France,3.08
grouped,MRI-ESM2-0,ssp245,23,BR_LONDRINA,Londrina Brazil,3.2
grouped,MRI-ESM2-0,ssp245,24,CA_SK_REGINA,Regina Saskatchewan,3.247
grouped,MRI-ESM2-0,ssp245,25,KZ_KOSTANAY,Kostanay Kazakhstan,3.398
grouped,MRI-ESM2-0,ssp245,26,BR_PASSOFUNDO,Passo Fundo Brazil,3.532
grouped,MRI-ESM2-0,ssp245,27,AU_NORTHAM,Northam Australia,3.539
grouped,MRI-ESM2-0,ssp245,28,ZA_MALMESBURY,Malmesbury South Africa,3.942
grouped,MRI-ESM2-0,ssp245,29,ES_VALLADOLID,Valladolid Spain,3.98
grouped,MRI-ESM2-0,ssp245,30,TR_KONYA,Konya Turkey,4.134
grouped,MRI-ESM2-0,ssp585,1,US_OK_ENID,Enid Oklahoma,0.565
grouped,MRI-ESM2-0,ssp585,2,US_TX_AMARILLO,Amarillo Texas,0.734
grouped,MRI-ESM2-0,ssp585,3,US_KS_GARDENCITY,Garden City Kansas,0.894
grouped,MRI-ESM2-0,ssp585,4,US_TX_WACO,Waco Texas,1.702
grouped,MRI-ESM2-0,ssp585,5,US_CO_STERLING,Sterling Colorado,1.753
grouped,MRI-ESM2-0,ssp585,6,AU_DUBBO,Dubbo Australia,1.826
grouped,MRI-ESM2-0,ssp585,7,RU_KRASNODAR,Krasnodar Russia,1.839
grouped,MRI-ESM2-0,ssp585,8,US_MO_COLUMBIA,Columbia Missouri,1.859
grouped,MRI-ESM2-0,ssp585,9,US_NE_HASTINGS,Hastings Nebraska,1.908
